,,,,,,,,,,,
,,,,,,,,,,,
,current,1.25,A,,,,,,,,
,mf,3451,Gauss,,,,,,,,
,,,,,,,,,,,
,Ring Number,,Radius (pixel),Radius^2,,,,,,,
,1,a,130,16900,,,,,,,
,,b,150,22500,,,,,,,
,,c,176,30976,,,,,,,
,2,a,241,58081,,,,,,,
,,b,251,63001,,,,,,,
,,c,259,67081,,,,,,,
,3,a,315,99225,,,,,,,
,,b,320,102400,,,,,,,
,,c,327,106929,,,,pixel to m,,0.00000298,m
,4,a,371,137641,,,,,,,
,,b,377,142129,,,,,,,
,,c,386,148996,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ring Number,a,δab,b,δbc,c,,average,,,
,1,16900,5600,22500,8476,30976,,,,,
,δ12,41181,,40501,,36105,,39262,,,
,2,58081,4920,63001,4080,67081,,,,,
,δ23,41144,,39399,,39848,,40130,,,
,3,99225,3175,102400,4529,106929,,,,,
,δ34,38416,,39729,,42067,,40070,,,
,4,137641,4488,142129,6867,148996,,,,,
,,,,,,,,,,,
,average,,4545,,5988,,,39820,,,
,,,,,,,,,,,
,,thickness,6.503755149,,,,,,,,
,ΔVab,8.774824789,m^-1,,,,,,,,
,ΔVbc,11.56075926,m^-1,,,,,,,,
,,,,,,,,,,,
,μ/hc,0.00589266417,m^-1 / Gauss,,,,,,,,
,μ,1767799.251,,,,,,,,,
,,,,,,,,,,,
,,,h,6.62607015 × 10^-34 Joule Sec,,,,,,,
,,,c,3*10^8 m/s,,,,,,,
